Movie Title,Year,Score,Director,Synopsis,Cast,Consensus
Like Water for Chocolate (Como Agua para Chocolate),1992,91%,Alfonso Arau," Based on the best-selling novel by Laura Esquival, this internationally popular romantic fable from Mexico centers on a young woman...","Lumi Cavazos, Marco Leonardi, Mario Ivan Martinez, Regina Torné",Like Water for Chocolate plays to the senses with a richly rewarding romance that indulges in magical realism to intoxicating effect.
Willy Wonka and the Chocolate Factory,1971,91%,Mel Stua," Promoted as a family musical by Paramount Pictures, Willy Wonka and the Chocolate Factory is more of a black comedy,...","Gene Wilder, Jack Albertson, Peter Ostrum, Michael Bollner","Willy Wonka and the Chocolate Factory is strange yet comforting, full of narrative detours that don't always work but express the film's uniqueness."
Gerald's Game,2017,91%,Mike Flanagan, Gerald Burlingame (Bruce Greenwood) and his wife Jessie (Carla Gugino) attempt to rekindle the flames of their marriage with a...,"Carla Gugino, Bruce Greenwood, Henry Thomas, Chiara Aurelia",Carla Gugino carries Gerald's Game's small-scale suspense with a career-defining performance.
Trainspotting,1996,91%,anny Boyl," Mark Renton (Ewan McGregor), a young man with few prospects and fewer ambitions, lives in economically depressed Edinburgh. Like most...","Ewan McGregor, Ewen Bremner, Jonny Lee Miller, Kevin Mckidd","A brutal, often times funny, other times terrifying portrayal of drug addiction in Edinburgh. Not for the faint of heart, but well worth viewing as a realistic and entertaining reminder of the horrors of drug use."
The Kindergarten Teacher,2018,91%,Sara Colangelo, Writer-director Sarah Colangelo's sophomore feature film is based on the 2014 Israeli film of the same name. Maggie Gyllenhaal plays...,"Maggie Gyllenhaal, Parker Sevak, Rosa Salazar, Michael Chernus","Elevated by a bravura performance from Maggie Gyllenhaal, The Kindergarten Teacher is one American remake that retains its impact the second time around."
Mississippi Grind,2015,91%,"Ryan Fleck, Anna Boden"," Gerry is a talented poker player, but his gambling habit is getting the best of him. One day, he meets...","Ben Mendelsohn, Ryan Reynolds, Sienna Miller, Robin Weigert","Well-acted and steeped in Southern atmosphere, Mississippi Grind is a road movie and addiction drama that transcends each of its well-worn genres."
El Camino: A Breaking Bad Movie,2019,91%,Vince Gilligan, The Netflix Television Event EL CAMINO: A BREAKING BAD MOVIE reunites fans with Jesse Pinkman (Emmy-winner Aaron Paul). In the...,"Aaron Paul, Jesse Plemons, Charles Baker (II), Jonathan Banks","Entertaining if not essential, El Camino adds a satisfying belated coda to the Breaking Bad story -- led by a career-best performance from Aaron Paul."
The Sapphires,2013,91%,Wayne Bla," Inspired by a true story, THE SAPPHIRES follows four vivacious, young and talented Australian Aboriginal girls from a remote mission...","Chris O'Dowd, Deborah Mailman, Jessica Mauboy, Shari Sebbens","While it's plenty predictable and sentimental, The Sapphires also has an irresistible feel-good vibe, winning music and charming performances to spare."
The Spectacular Now,2013,91%,James Ponsol," With sly humor and an intensity of feeling, THE SPECTACULAR NOW (directed by James Ponsoldt) creates a vivid, three-dimensional portrait...","Miles Teller, Shailene Woodley, Brie Larson, Mary Elizabeth Winstead","The Spectacular Now is an adroit, sensitive film that avoids typical coming-of-age story trappings."
Locke,2014,91%,Steven Knigh," Ivan Locke (Hardy) has worked diligently to craft the life he has envisioned, dedicating himself to the job that he...","Tom Hardy, Bill Milner, Andrew Scott, Ruth Wilson","A one-man show set in a single confined location, Locke demands a powerful performance -- and gets it from a never-more-compelling Tom Hardy."
The Ballad of Buster Scruggs,2018,91%,"Joel Coen, Ethan Coen"," The Ballad of Buster Scruggs is a six-part Western anthology film, a series of tales about the American frontier told...","Tim Blake Nelson, Bill Heck, James Franco, Liam Neeson",The Ballad of Buster Scruggs avoids anthology pitfalls with a consistent collection tied together by the Coen brothers' signature blend of dark drama and black humor.
There Will Be Blood,2007,91%,Paul Thomas Anderson, Writer-director Paul Thomas Anderson steps outside his contemporary world of dysfunctional Angelenos to explore a very different dysfunctional man --...,"Daniel Day-Lewis, Paul Dano, Kevin J. O'Connor, Ciarán Hinds","Widely touted as a masterpiece, this sparse and sprawling epic about the underhanded ""heroes"" of capitalism boasts incredible performances by leads Daniel Day-Lewis and Paul Dano, and is director Paul Thomas Anderson's best work to date."
Green Room,2016,91%,Jeremy Sauln, GREEN ROOM is a brilliantly crafted and wickedly fun horror-thriller starring Patrick Stewart as a diabolical club owner who squares...,"Anton Yelchin, Imogen Poots, Patrick Stewart, Alia Shawkat",Green Room delivers unapologetic genre thrills with uncommon intelligence and powerfully acted élan.
Good Time,2017,91%,"nny Safdie, Josh Saf"," After a botched bank robbery lands his younger brother in prison, Constantine Nikas (Robert Pattinson) embarks on a twisted odyssey...","Robert Pattinson, Benny Safdie, Jennifer Jason Leigh, Buddy Duress","A visual treat filled out by consistently stellar work from Robert Pattinson, Good Time is a singularly distinctive crime drama offering far more than the usual genre thrills."
The Fighter,2010,91%,avid O. Russell," Mark Wahlberg stars in Paramount Pictures' inspirational docudrama exploring the remarkable rise of Massachusetts-born, junior welterweight title winner ""Irish"" Micky...","Christian Bale, Mark Wahlberg, Amy Adams, Melissa Leo","Led by a trio of captivating performances from Mark Wahlberg, Christian Bale, and Amy Adams, The Fighter is a solidly entertaining, albeit predictable, entry in the boxing drama genre."
A Ghost Story,2017,91%,avid Low," With A GHOST STORY, acclaimed director David Lowery (AIN'T THEM BODIES SAINTS, PETE'S DRAGON) returns with a singular exploration of...","Casey Affleck, Rooney Mara, Will Oldham, Kenneisha Thompson","A Ghost Story deftly manages its ambitious themes through an inventive, artful, and ultimately poignant exploration of love and loss."
